SexCode,MaritalCode,PrevEdCode,DDVeteran,DaysEnrollToStart,AgeAtStart,AgeAtGrad,GPA,MinutesAttended,HoursAttempt,HoursEarned,HoursReq,MinutesAbsent,TransferCredits,TransferGPA,MinEFC,MaxENTEntranceScore,gradFlag
M,M,BACH,0,55,24,27,3.22,145953,2925,2550,2565,3475,19,2.55,0,81,1
F,M,BACH,0,143,22,25,3.02,129045,2640,2565,2565,11840,12,NA,0,89.5,1
F,S,BACH,0,98,30,33,3.47,111385,2559,2514,2565,935,37.67,2.84,0,NA,1
F,UN,BACH,0,101,24,27,3.19,135401,2520,2520,2565,4549,6,NA,0,87.5,1
M,NULL,SOMECOLL,0,61,19,22,3.84,115660,2520,2520,2565,1340,22,NA,3141,NA,1
F,UN,SOMECOLL,0,69,20,22,3.45,134521,2520,2520,2565,5784,9,NA,60,NA,1
F,UN,SOMECOLL,0,70,21,23,3.69,124157,2550,2550,2565,6098,7,NA,192,NA,1
F,UN,SOMECOLL,0,144,20,23,2.64,52801,1020,885,2565,704,9,3,0,87,0
F,UN,HS,0,77,17,21,3.08,139196,2520,2520,2565,3459,NA,NA,0,84.5,1
F,UN,SOMECOLL,0,150,23,26,3.7,120865,2550,2550,2565,2135,24,NA,0,NA,1
F,NULL,SOMECOLL,0,66,23,25,0,3480,585,450,2565,4020,26,2.36,0,86,0
F,UN,ASSOC,0,121,20,22,3.58,108266,2520,2520,2565,4325,28,NA,1716,88,1
M,UN,SOMECOLL,0,145,23,27,2.51,92523,1905,1515,2565,7357,3,NA,0,81,0
F,NULL,SOMECOLL,0,12,20,23,3.29,120900,2685,2610,2565,1305,24,NA,0,80.5,1
F,S,SOMECOLL,0,69,25,28,3.34,133507,2523,2523,2565,3002,4,2.09,0,87.5,1
F,NULL,SOMECOLL,0,61,21,24,3.8,106534,2617.5,2520,2565,5831,31,3.46,0,NA,1
M,UN,HS,0,104,18,21,1.9,29572,495,495,2565,128,NA,NA,26995,79.5,0
F,UN,SOMECOLL,0,150,20,22,3.52,122339,2520,2520,2565,3506,17,NA,49586,NA,1
F,UN,SOMECOLL,0,131,31,34,3.29,119340,2250,2250,2250,1695,10,NA,0,87,1
F,UN,SOMECOLL,0,70,26,29,3.15,122360,2655,2520,2565,2275,24,NA,0,84.5,1
M,NULL,ASSOC,0,66,27,29,3.35,20470,1020,1020,2565,560,42,2.66,10450,NA,0
F,NULL,SOMECOLL,0,116,20,23,3.09,115889,2340,2250,2250,14486,10,NA,4652,NA,1
